Plot,N_sensitive,N_oligo,N_For,N_Cyan,spp_rich
1235,6,4,3,0,13
1236,15,10,7,2,25
1237,16,12,6,1,22
1239,15,10,7,0,18
1240,21,17,10,4,30
1241,21,17,8,6,28
1242,18,14,9,0,26
1244,12,12,7,0,19
1245,11,13,7,0,15
1246,13,13,8,0,13
1248,11,11,7,1,12
1250,13,12,6,1,17
1251,17,18,12,1,24
1252,19,19,11,0,24
1253,9,10,8,1,12
1254,6,7,5,1,8
1256,13,13,9,1,14
1258,7,6,3,0,8
1259,7,7,5,0,15
1260,13,13,10,2,28
1261,15,9,6,3,23
1262,18,14,9,0,28
1264,16,13,11,4,37
1266,22,19,9,11,39
1268,16,12,8,0,24
1269,12,6,7,0,17
1271,12,13,7,0,23
1273,9,11,4,0,16
1275,15,16,6,0,24
1276,15,16,9,0,19
1278,6,6,4,1,6
1279,19,19,10,1,24
1280,15,14,11,1,21
1282,6,6,4,1,6
1283,8,8,6,1,8
1284,8,8,6,1,8
1286,8,8,6,1,8
1288,12,12,9,1,19
1290,4,5,4,0,6
1292,4,3,2,0,6
1293,13,11,8,0,17
1296,13,17,9,5,27
1298,6,6,1,0,15
1299,16,13,5,3,24
1300,16,12,7,0,24
1303,22,18,9,5,37
1305,17,14,9,1,26
1307,19,16,8,5,34
1309,8,6,3,0,11
1310,9,11,5,0,15
1312,7,10,5,0,12
1313,12,13,6,0,13
1315,15,13,7,1,17
1317,18,14,9,1,24
1319,6,6,4,0,6
1321,7,7,5,1,8
1323,8,8,6,1,9
1325,5,5,4,0,5
1326,5,5,4,0,7
1328,8,8,5,1,8
1329,11,11,8,1,12
1331,8,10,5,0,14
1333,4,4,3,0,6
1334,6,3,4,1,13
1335,12,3,7,0,20
1337,12,9,5,1,17
1339,8,6,3,0,17
1340,13,9,9,0,24
1341,18,17,8,6,26
1343,17,12,10,1,26
1344,18,18,7,10,31
1345,21,18,6,12,36
1347,15,15,8,0,23
1348,11,13,8,0,19
